Heading,Level 1 ,Level2
Day 1: Introduction to Quality Management Systems (QMS) and ISO 9001:2015,,
,• Training objectives and course structure,
,• Quality management principles,
,• ISO 9001:2015 requirements overview,
,• Certification process and benefits,
Day 2: Audit Principles and Preparation,,
,• Audit concepts and terminology,
,• ISO 19011 guidelines,
,• Audit planning and preparation,
,• Risk-based thinking in audits,
Day 3: Conducting an Audit,,
,• Opening meeting,
,• Collecting audit evidence,
,• Interview techniques,
,• Identifying nonconformities,
Day 4: Audit Reporting and Follow-up,,
,• Audit findings and conclusions,
,• Corrective actions,
,• Closing meeting,
,• Audit report preparation,
Day 5: Lead Auditor Competence and Examination,,
,Managing audit teams,
,• Auditor responsibilities,
,• Case studies and workshops,
,• Final examination and certification guidance,
